energy,impacte,X,Y,Z,altitude,velocity,vx,vy,vz
3.7,0.13,0.500364375970746,0.7734455654321692,0.3891239501402063,33.1,31.3,-29.3,5.1,9.7
4.6,0.15,-0.5388284435115872,0.8079391673130394,0.23853345757858105,23.0,14.4,14.1,-2.7,1.6
21.7,0.6,0.0785220453122195,0.4408202458397218,0.8941542368393682,37.0,28.3,20.7,14.6,12.7
3.8,0.13,0.9414269435968479,0.2950253208247481,0.16332596224162232,37.0,18.3,-17.9,-3.9,0.1
2.6,0.092,0.5206911070474656,0.5152667945884933,0.6807208689589178,33.8,17.6,2.8,12.7,11.9
29.1,0.78,-0.693048696923495,0.06307237234781425,0.7181262977631889,44.2,30.2,15.5,24.9,-7.0
3.0,0.1,0.4136048792486868,0.9033914081140559,0.11320321376790683,35.3,19.8,-12.2,14.9,-4.8
5.4,0.18,-0.9403189153454393,0.3073435963374057,0.14608302856241165,37.0,19.3,19.3,-0.4,-1.3
8.1,0.25,-0.11597209674759383,0.6510636343659616,0.7501110696304596,35.4,16.1,6.4,-12.5,-7.8
171.9,3.8,-0.6255082042084256,0.7020550179755943,0.3403795502130501,44.0,21.8,3.3,20.4,-6.8
15.1,0.44,-0.2192532984348012,0.9203290157945174,0.3239174181981494,36.1,15.6,-9.5,12.2,1.9
2.6,0.092,-0.5772337058326931,0.7772458442605877,0.2503800040544415,38.3,25.7,2.6,4.1,-25.2
54.3,1.4,0.4464348738422402,0.8686683156901244,0.21473532716706334,40.4,16.5,7.3,-2.0,-16.4
358.4,7.2,-0.7492639645875696,0.5874979930978751,0.3056953049631057,29.0,27.9,25.4,6.9,9.3
2.4,0.086,0.670140315819171,0.12662432721131828,0.7313537016191706,29.6,16.2,-15.6,-3.8,-1.8
309.7,6.3,0.7597432092644507,0.5519857518939,0.34365969458561607,41.4,17.2,1.6,-14.7,8.8
7.2,0.23,-0.183386557468568,0.5065997723220362,0.8424523970071476,31.2,22.1,8.6,3.6,-20.0
2.4,0.086,0.23159654753747907,0.9288830171360491,0.2890317969444716,61.8,46.4,21.4,-40.6,7.1
6.4,0.2,0.03469912042967492,0.7641339677205975,0.6441236297613865,32.0,25.3,16.1,-19.3,2.6
20.3,0.57,-0.33714916557882535,0.9313642879744447,0.13744454603714681,37.0,23.0,-1.1,-22.9,1.2
18.4,0.52,0.39988927697103216,0.5364926229965872,0.7431448254773944,32.3,15.6,-15.1,3.7,-0.9
2.9,0.1,-0.8326596959747381,0.09192648625641874,0.5461019610144291,38.0,14.2,7.8,-5.6,-10.5
4.6,0.15,0.8081054128801898,0.2719575179021741,0.5224985647159489,33.5,17.5,-16.1,4.5,-5.2
9.0,0.28,-0.4938541844126023,0.4938541844126024,0.7156927337037359,27.0,16.7,2.3,-0.4,16.5
6.2,0.2,-0.03742011166712675,0.7386838917304729,0.6730125135097733,32.3,16.4,0.2,-12.3,-10.9
6.2,0.2,0.8404741659308927,0.030818788601916804,0.5409744713679939,20.0,18.7,-5.7,14.0,11.0
3.4,0.12,-0.3256090160304426,0.909390713924387,0.25881904510252074,26.0,21.7,9.0,12.3,15.4
3.2,0.11,0.3389514156170892,0.6768703362774713,0.6534206039901055,35.8,17.4,-13.9,-4.3,9.5
2.4,0.086,-0.9113815758698343,0.22892322888799738,0.3420201433256688,14.0,21.9,18.4,-11.4,-3.5
25.1,0.68,0.053782563588885134,0.9930665819675487,0.10452846326765346,37.5,29.9,-17.1,23.5,-7.2
52.4,1.3,0.7086620298704638,0.035899269753781535,0.7046342099635947,38.1,19.8,-6.1,17.7,6.5
8.7,0.27,0.17622248833225762,0.7397045809822342,0.6494480483301837,33.6,15.2,-2.1,-2.2,14.9
6.0,0.19,0.860283182719898,0.3216467020373967,0.395545502562965,32.7,17.4,-7.1,15.5,-3.3
8.6,0.27,0.3700896665342952,0.6308025646718604,0.6819983600624986,32.2,16.0,-0.9,15.6,-3.6
2.7,0.095,-0.6001243353292458,0.7126705590281516,0.36325123047297836,22.0,20.2,17.9,-4.1,-8.3
6.5,0.21,-0.33463935645247367,0.09154696852235905,0.9378889346118977,19.0,20.1,0.2,-18.3,8.2
3.1,0.11,-0.45662546425282413,0.6037670905880003,0.6534206039901055,41.1,24.9,23.1,2.0,-9.2
3.9,0.13,0.20390443739222933,0.5284307008862262,0.8241261886220157,28.4,12.7,-4.2,11.6,3.2
5.2,0.17,0.5274282720694657,0.8375418825896688,0.1426289337055117,23.8,20.6,-19.3,-6.3,3.6
2.7,0.095,0.4329829078100462,0.8996720297556523,0.05582150499316394,31.5,19.7,-17.6,5.3,-7.2
37.8,0.98,0.2681604957974231,0.9540113472127757,0.1339861854182922,29.0,19.6,-16.6,-10.4,0.1
7.6,0.24,0.9355449051286578,0.35164821147538305,0.033155178388526274,56.7,18.2,-12.4,11.4,6.9
185.1,4.0,0.3377154117066909,0.05409324483048922,0.9396926207859083,33.3,17.2,-11.5,-5.3,-11.7
6.5,0.21,0.5509355779594457,0.8292247067609815,0.09410831331851428,32.4,21.5,-4.4,-19.6,-7.7
348.0,7.0,0.8598411002106146,0.17337437784180026,0.4802234974431889,26.5,13.1,-8.9,-7.3,-6.3
15.2,0.44,-0.7689621642629404,0.5964681955911303,0.23004973718810445,36.0,22.8,17.6,9.7,-10.8
5.4,0.18,0.5065235487181532,0.3957395681006682,0.766044443118978,36.6,20.0,-10.8,16.8,1.0
126.4,2.9,-0.49300826213030435,0.17749389602614957,0.8517269341430477,40.8,22.8,-2.5,5.3,22.0
2.0,0.073,-0.14662134200376628,0.3144304826214757,0.9378889346118977,44.0,22.0,7.4,-8.6,18.8
3.2,0.11,0.22724189754191557,0.39839745710811214,0.8886172326549489,56.0,18.2,10.3,-7.1,-13.2
4.0,0.13,-0.33592710892044186,0.7725794578653007,0.5387707850068632,38.4,19.7,0.2,-2.2,-19.6
2.4,0.086,-0.4829142581323971,0.8676256794157892,0.11840396830650095,35.0,23.0,7.0,-18.3,-12.0
3.7,0.13,0.38837418045116817,0.4865079329126617,0.7826081568524139,30.0,15.9,-14.1,-7.0,-1.9
2.0,0.073,-0.4640889744074158,0.223350940093225,0.8571673007021123,31.4,27.5,12.9,4.2,-23.9
13.7,0.4,-0.49966684911580295,0.3122265001775676,0.8079898838980305,28.0,21.2,-3.5,-9.0,-18.9
3.1,0.11,-0.3711184226014723,0.9278622500231508,0.036643708706556276,26.0,13.6,-4.4,6.9,10.9
3.7,0.13,-0.1078757926167165,0.7305334376099463,0.6743023875837234,26.4,14.7,-1.6,-11.9,-8.4
74.0,1.8,-0.6886524262078978,0.1948689943379974,0.6984152854310058,43.4,15.7,0.7,15.7,-0.5
